slide,title,bullet_1,bullet_2,bullet_3,bullet_4,bullet_5,bullet_6
1,agent.gate,Governance policy enforcement and auditability for AI-assisted software delivery,MCP-native control plane + admin console,,,,
2,Executive summary (30 seconds),Policy-as-code deterministic checks and tamper-evident audit trails in the same workflows as coding agents and developers,Connects MCP OPA-style decisions Neon/Postgres persistence and an admin dashboard for policy lifecycle and signal intelligence,Positioning: standalone governance layer—not a SonarQube narrative and not tied to Domino REST,,,,
3,Problem / market gap,Agent-generated code scales faster than governance: reviews guardrails and evidence often lag,Tooling fragmentation: LLM tools IDEs CI and policy engines rarely share a common contract for what was checked and why,Weak audit narrative for risk teams: model said it is fine is not the same as signed chained queryable decision logs,Human rejection signals are unstructured: PR feedback rarely flows back into automated rules or coverage metrics,,,,
4,What agent.gate is,Governance engine exposing MCP tools to audit code log transactions and produce audit artifacts on demand,Policy bridge to OPA for structured allow/deny evaluation (agent.gate decision model),Persistence layer: Postgres for decision logs rules_library and pr_signals analytics,Admin dashboard: policy IDE natural-language rule assistance governance console Signal Intelligence,,,,
5,Core architecture,MCP server (streamable-http / stdio): integration surface for coding agents and automation,Policy evaluation: OPA-backed decisions with pragmatic fallbacks when services are unavailable,Data plane: Postgres for decision logs rules_library pr_signals rejection analytics,Optional: semantic search over governance standards to ground policy suggestions,Admin UI: Vite/React console for visibility and operations,,
6,Key features — developer & agent experience,audit_vibe: profile-aware checks with HTML certificates and configurable outputs,Profiles and rule packs: baseline and industry-style profiles; shared rules_library with tenant industry compliance tags domain filters,list_vibe_rules / list_vibe_profiles: discoverability for agents and humans,Natural-language to structured rule assistance with machine-testable patterns (e.g. regex test hooks in Rego workflows),,,
7,Key features — GRC-grade auditability,log_vibe_transaction: evaluate proposed changes with intent context and persist structured outcomes,Integrity: hash-chained logs and RSA signing/verification for tamper detection (verify_audit_integrity),generate_audit_report: Software Bill of Intent style reporting over a time window,log_audit_trail: structured provenance suitable for downstream review,,,,
8,Key features — Signal Intelligence,Ingest PR rejection patterns into pr_signals to answer where are we blind,Dashboard widgets: coverage gaps priority signals automation potential; velocity-style narratives,Signal Agent: conversational assistant over signals and active policy context (summaries filters drafting staging-style workflows),,,,
9,Value proposition,Speed with control: policy enforcement and evidence at AI coding throughput,A single integration contract (MCP) across tools instead of bespoke per-IDE plugins,Defensible compliance posture: decisions as data—queryable attributable verifiable,Closed-loop governance: human review signals operationalized into coverage and candidate policies,,,,
10,Customer value,Risk reduction: fewer unknown-unknowns in agent-generated diffs; clearer deny reasons and repeatable checks,Operational efficiency: less manual re-review of the same failure classes; faster rejection-to-rule convergence,Multitenancy readiness: tenant-scoped patterns for decisions signals and rules activation,Executive-friendly reporting: certificates and summaries in governance language,,,,
11,Differentiation,Not positioned as SonarQube but LLM: the story is agent-era governance infrastructure—contracts policy evidence feedback loops,Explicit non-goal: no dependency on Domino REST API,Composable: MCP + OPA + Postgres + optional embeddings—incremental pilot to expand,,,,
12,Typical buyers / users,Platform engineering / developer productivity: standardize guardrails for agents,Security and GRC: auditability integrity reporting,App teams shipping fast with Copilot-like workflows: pragmatic guardrails without blocking experimentation,,,,
13,Implementation footprint,Deployable: MCP (e.g. Vercel) dashboard/API routes Neon Postgres optional OPA optional vector search,Telemetry naming discipline: agent.gate.* spans and agent.gate.issues.* style metrics,,,,,
14,Roadmap / maturity notes,Strong: MCP surface OPA patterns persistence + integrity primitives dashboard PR signal ingestion/analytics UI,Productization opportunities: durable server workflows for approve-and-deploy style actions; clustering to master policy automation; deeper CI gates and policy promotion beyond UI mocks where applicable,,,,,
15,Closing — one-liner,agent.gate = governance that keeps pace with agents,One-liner: Policy-backed checks signed audit trails and rejection intelligence—wired directly into how software is generated today,,,,,
